t_s,pwm_cmd,omega_real_rad_s
11.520000,0.000000,0.00000000
11.540000,0.000000,0.00000000
11.559999,0.000000,0.00000000
11.580000,0.000000,0.00000000
11.599999,0.000000,0.00000000
11.620000,0.000000,0.00000000
11.639999,0.000000,0.00000000
11.660000,0.000000,0.00000000
11.679999,0.000000,0.00000000
11.700000,0.000000,0.00000000
11.719999,0.000000,0.00000000
11.740000,0.000000,0.00000000
11.759999,0.000000,0.00000000
11.780000,0.000000,0.00000000
11.800000,0.000000,0.00000000
11.820000,0.000000,0.00000000
11.840000,0.000000,0.00000000
11.860000,0.000000,0.00000000
11.880000,0.000000,0.00000000
11.900000,0.000000,0.00000000
11.920000,0.000000,0.00000000
11.940000,0.000000,0.00000000
11.960000,0.000000,0.00000000
11.980000,0.000000,0.00000000
12.000000,0.000000,0.00000000
12.020000,0.000000,0.00000000
12.040000,0.000000,0.00000000
12.059999,0.000000,0.00000000
12.080000,0.000000,0.00000000
12.099999,0.000000,0.00000000
12.120000,0.000000,0.00000000
12.139999,0.000000,0.00000000
12.160000,0.000000,0.00000000
12.179999,0.000000,0.00000000
12.200000,0.000000,0.00000000
12.219999,0.000000,0.00000000
12.240000,0.000000,0.00000000
12.259999,0.000000,0.00000000
12.280000,0.000000,0.00000000
12.300000,0.000000,0.00000000
12.320000,0.000000,0.00000000
12.340000,0.000000,0.00000000
12.360000,0.000000,0.00000000
12.380000,0.000000,0.00000000
12.400000,0.000000,0.00000000
12.420000,0.000000,0.00000000
12.440000,0.000000,0.00000000
12.460000,0.000000,0.00000000
12.480000,0.000000,0.00000000
12.500000,0.000000,0.00000000
12.520000,0.000000,0.00000000
12.540000,0.000000,0.00000000
12.559999,0.000000,0.00000000
12.580000,0.000000,0.00000000
12.599999,0.000000,0.00000000
12.620000,0.000000,0.00000000
12.639999,0.000000,0.00000000
12.660000,0.000000,0.00000000
12.679999,0.000000,0.00000000
12.700000,0.000000,0.00000000
12.719999,0.000000,0.00000000
12.740000,0.000000,0.00000000
12.759999,0.000000,0.00000000
12.780000,0.000000,0.00000000
12.799999,0.000000,0.00000000
12.820000,0.000000,0.00000000
12.840000,0.000000,0.00000000
12.860000,0.000000,0.00000000
12.880000,0.000000,0.00000000
12.900000,0.000000,0.00000000
12.920000,0.000000,0.00000000
12.940000,0.000000,0.00000000
12.960000,0.000000,0.00000000
12.980000,0.000000,0.00000000
13.000000,0.000000,0.00000000
