t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,error_rad_s,u_eff,pwm_cmd,delta_cnt,position_cnt
5.920,8.000000,7.949374,7.827636,0.172364,-0.535447,0.790951,-50,-13951
5.940,8.000000,7.790387,7.822048,0.177952,-0.535481,0.790967,-49,-14000
5.960,8.000000,7.790387,7.817299,0.182701,-0.535510,0.790979,-49,-14049
5.980,8.000000,7.790387,7.813262,0.186738,-0.535534,0.790990,-49,-14098
6.000,8.000000,7.790387,7.809831,0.190169,-0.535555,0.791000,-49,-14147
6.020,8.000000,7.790387,7.806914,0.193086,-0.535573,0.791008,-49,-14196
6.040,8.000000,7.949374,7.828283,0.171717,-0.535444,0.790950,-50,-14246
6.060,8.000000,7.790387,7.822598,0.177402,-0.535478,0.790965,-49,-14295
6.080,8.000000,7.790387,7.817767,0.182233,-0.535507,0.790978,-49,-14344
6.100,8.000000,7.790387,7.813660,0.186340,-0.535532,0.790989,-49,-14393
6.120,8.000000,7.790387,7.810169,0.189831,-0.535553,0.790999,-49,-14442
6.140,8.000000,7.790387,7.807201,0.192799,-0.535571,0.791007,-49,-14491
6.160,8.000000,7.790387,7.804679,0.195321,-0.535586,0.791014,-49,-14540
6.180,8.000000,7.790387,7.802535,0.197465,-0.535599,0.791020,-49,-14589
6.200,8.000000,7.949374,7.824561,0.175439,-0.535466,0.790960,-50,-14639
6.220,8.000000,7.790387,7.819435,0.180565,-0.535497,0.790974,-49,-14688
6.240,8.000000,7.790387,7.815077,0.184923,-0.535523,0.790985,-49,-14737
6.260,8.000000,7.790387,7.811374,0.188626,-0.535546,0.790996,-49,-14786
6.280,8.000000,7.790387,7.808226,0.191774,-0.535565,0.791004,-49,-14835
6.300,8.000000,7.790387,7.805550,0.194450,-0.535581,0.791011,-49,-14884
6.320,8.000000,7.790387,7.803275,0.196725,-0.535595,0.791018,-49,-14933
6.340,8.000000,7.790387,7.801342,0.198658,-0.535606,0.791023,-49,-14982
6.360,8.000000,7.790387,7.799698,0.200302,-0.535616,0.791027,-49,-15031
6.380,8.000000,7.790387,7.798301,0.201699,-0.535625,0.791031,-49,-15080
6.400,8.000000,7.790387,7.797114,0.202886,-0.535632,0.791034,-49,-15129
6.420,8.000000,7.790387,7.796104,0.203896,-0.535638,0.791037,-49,-15178
6.440,8.000000,7.790387,7.795247,0.204753,-0.535643,0.791039,-49,-15227
6.460,8.000000,7.790387,7.794518,0.205482,-0.535647,0.791041,-49,-15276
6.480,8.000000,7.790387,7.793898,0.206102,-0.535651,0.791043,-49,-15325
